Qsimules,Temp
311.5,0.01
309.4,0.03
306.1,0.05
300.4,0.07
299.8,0.09
299.4,0.15
299,0.17
298.9,0.19
298.6,0.21
298.3,0.23
296.7,0.25
295.8,0.27
292.8,0.29
292.7,0.31
292.4,0.37
291.3,0.39
289.7,0.41
289.3,0.43
287.5,0.44
287.4,0.46
287.1,0.48
286.6,0.5
285.8,0.52
285.7,0.54
284.4,0.56
284.2,0.58
283.8,0.6
283.2,0.62
282.7,0.66
282.6,0.68
282.4,0.7
281.8,0.72
281.5,0.74
281.1,0.76
280.8,0.78
280.7,0.8
279.7,0.82
279.1,0.84
278.5,0.86
278.2,0.88
278.1,0.89
277.6,0.91
277.3,0.93
277.2,0.95
276.7,0.97
276.6,1.01
276.4,1.03
276.1,1.05
275.6,1.11
275.4,1.13
275.2,1.15
275,1.17
274.6,1.19
274.5,1.21
274.4,1.23
274.1,1.25
274,1.27
273.8,1.29
273.7,1.31
273.4,1.32
272.7,1.34
272.5,1.36
272,1.38
271.6,1.44
271.4,1.46
271.3,1.48
270.9,1.5
270.3,1.52
270.1,1.54
270,1.56
269.9,1.6
269.8,1.62
269.7,1.64
269.5,1.66
268.9,1.7
268.4,1.76
268.3,1.77
268.1,1.79
268,1.81
267.6,1.83
267.5,1.85
267.2,1.87
267,1.93
266.8,1.95
266.5,1.99
266.4,2.01
266.2,2.03
265.8,2.05
265.7,2.07
265.6,2.09
265.5,2.11
265.3,2.13
265.1,2.15
264.5,2.17
264.4,2.19
264.3,2.22
264,2.24
263.8,2.26
263.6,2.32
263.3,2.34
263.1,2.36
263,2.38
262.3,2.42
262.1,2.46
262,2.48
261.8,2.5
261.6,2.52
261.4,2.54
261.3,2.56
261.1,2.58
261,2.6
260.9,2.64
260.7,2.67
260.4,2.71
260.2,2.73
260.1,2.75
260,2.77
259.9,2.79
259.8,2.81
259.6,2.83
259.3,2.85
259.2,2.89
259,2.91
258.9,2.99
258.4,3.01
258,3.05
257.7,3.1
257.6,3.12
257.5,3.14
257.1,3.2
257,3.24
256.9,3.26
256.7,3.32
256.6,3.36
256.5,3.4
256.4,3.44
256.3,3.46
256.2,3.5
256.1,3.52
256,3.55
255.9,3.57
255.8,3.61
255.7,3.67
255.5,3.71
255.3,3.79
255.1,3.81
254.6,3.87
254.5,3.89
254.3,3.91
254.1,3.97
254,4
253.9,4.02
253.8,4.04
253.6,4.06
253.3,4.08
253.2,4.14
253.1,4.16
253,4.2
252.9,4.22
252.8,4.24
252.6,4.26
252.5,4.3
252.4,4.34
252.3,4.38
252.2,4.4
252.1,4.43
251.9,4.51
251.8,4.57
251.5,4.61
251.3,4.63
251.2,4.67
251.1,4.71
251,4.75
250.9,4.79
250.8,4.81
250.7,4.83
250.6,4.85
250.5,4.86
250.4,4.9
249.9,4.94
249.8,4.96
249.3,5.02
249.2,5.08
249.1,5.1
249,5.18
248.9,5.26
248.8,5.28
248.7,5.3
248.6,5.33
248.5,5.39
248.4,5.41
248.3,5.43
248.1,5.49
247.9,5.53
247.8,5.63
247.7,5.67
247.6,5.73
247.4,5.76
247.3,5.8
247.2,5.86
247,5.9
246.9,5.92
246.8,5.94
246.7,5.96
246.6,6.02
246.5,6.04
246.4,6.06
246.1,6.1
246,6.14
245.8,6.16
245.7,6.19
245.6,6.23
245.5,6.25
245.4,6.31
245.2,6.33
245.1,6.39
245,6.43
244.9,6.51
244.8,6.53
244.7,6.55
244.6,6.59
244.5,6.63
244.4,6.72
244.2,6.74
244.1,6.8
244,6.86
243.9,6.94
243.8,6.98
243.7,7.04
243.6,7.07
243.5,7.09
243.4,7.13
243.3,7.19
243.1,7.21
243,7.29
242.9,7.35
242.8,7.43
242.7,7.47
242.6,7.49
242.5,7.52
242.3,7.54
242.2,7.6
242.1,7.64
242,7.68
241.9,7.72
241.8,7.78
241.6,7.8
241.5,7.82
241.4,7.84
